mean=0.903, std=0.027, quantiles=(0.810, 0.901, 0.910, 0.917, 0.932)
mean=0.903, std=0.027, quantiles=(0.810, 0.901, 0.910, 0.917, 0.932)
mean=0.902, std=0.027, quantiles=(0.810, 0.901, 0.909, 0.916, 0.932)
mean=0.902, std=0.027, quantiles=(0.810, 0.901, 0.909, 0.916, 0.931)
mean=0.902, std=0.027, quantiles=(0.810, 0.901, 0.909, 0.916, 0.931)
mean=0.902, std=0.027, quantiles=(0.810, 0.901, 0.909, 0.916, 0.930)
mean=0.902, std=0.027, quantiles=(0.810, 0.901, 0.909, 0.916, 0.930)
mean=0.902, std=0.027, quantiles=(0.810, 0.901, 0.909, 0.916, 0.933)
mean=0.902, std=0.027, quantiles=(0.810, 0.901, 0.909, 0.915, 0.931)
mean=0.901, std=0.028, quantiles=(0.810, 0.900, 0.909, 0.915, 0.930)
mean=0.901, std=0.028, quantiles=(0.810, 0.900, 0.909, 0.915, 0.930)
mean=0.901, std=0.028, quantiles=(0.810, 0.900, 0.909, 0.915, 0.930)
mean=0.901, std=0.028, quantiles=(0.810, 0.900, 0.909, 0.915, 0.930)
mean=0.901, std=0.028, quantiles=(0.810, 0.900, 0.909, 0.915, 0.930)
mean=0.900, std=0.028, quantiles=(0.810, 0.899, 0.908, 0.914, 0.930)
mean=0.900, std=0.028, quantiles=(0.810, 0.899, 0.908, 0.914, 0.930)
mean=0.900, std=0.028, quantiles=(0.810, 0.899, 0.908, 0.914, 0.929)
mean=0.900, std=0.028, quantiles=(0.810, 0.899, 0.908, 0.914, 0.929)
mean=0.900, std=0.028, quantiles=(0.810, 0.899, 0.908, 0.914, 0.929)
mean=0.900, std=0.028, quantiles=(0.810, 0.899, 0.909, 0.914, 0.929)
mean=0.900, std=0.028, quantiles=(0.810, 0.899, 0.909, 0.914, 0.929)
mean=0.899, std=0.028, quantiles=(0.810, 0.898, 0.908, 0.914, 0.929)
mean=0.899, std=0.028, quantiles=(0.810, 0.898, 0.908, 0.914, 0.928)
mean=0.899, std=0.028, quantiles=(0.810, 0.898, 0.907, 0.913, 0.928)
mean=0.898, std=0.028, quantiles=(0.810, 0.898, 0.907, 0.913, 0.928)
mean=0.898, std=0.028, quantiles=(0.810, 0.897, 0.906, 0.913, 0.929)
mean=0.898, std=0.028, quantiles=(0.810, 0.897, 0.906, 0.912, 0.928)
mean=0.897, std=0.028, quantiles=(0.810, 0.897, 0.905, 0.912, 0.928)
mean=0.897, std=0.028, quantiles=(0.810, 0.897, 0.905, 0.912, 0.928)
mean=0.897, std=0.028, quantiles=(0.810, 0.897, 0.906, 0.912, 0.928)
mean=0.897, std=0.028, quantiles=(0.810, 0.897, 0.906, 0.912, 0.928)
mean=0.897, std=0.028, quantiles=(0.810, 0.897, 0.906, 0.912, 0.927)
mean=0.897, std=0.028, quantiles=(0.810, 0.897, 0.905, 0.912, 0.927)
mean=0.897, std=0.028, quantiles=(0.810, 0.897, 0.905, 0.911, 0.927)
mean=0.897, std=0.028, quantiles=(0.810, 0.897, 0.905, 0.911, 0.927)
mean=0.897, std=0.028, quantiles=(0.810, 0.896, 0.905, 0.911, 0.927)
mean=0.897, std=0.028, quantiles=(0.810, 0.896, 0.905, 0.911, 0.928)
mean=0.896, std=0.028, quantiles=(0.810, 0.896, 0.905, 0.911, 0.926)
mean=0.896, std=0.028, quantiles=(0.810, 0.896, 0.905, 0.911, 0.926)
mean=0.896, std=0.028, quantiles=(0.810, 0.896, 0.905, 0.911, 0.926)
mean=0.896, std=0.028, quantiles=(0.810, 0.896, 0.905, 0.911, 0.926)
